code_region,nom,nb_enfants_2024,nb_interventions_2024,nb_eleves_2024,ratio_2024,nb_enfants_2023,nb_interventions_2023,nb_eleves_2023,ratio_2023,delta_ratio,pct_change
94,Corse,1761,57,15295.0,115.14,987.0,31.0,15282.0,64.59,50.55,78.3
52,Pays de la Loire,20479,768,224548.0,91.2,12824.0,460.0,229927.0,55.77,35.43,63.5
27,Bourgogne-Franche-Comté,12575,465,146174.0,86.03,7149.0,293.0,149185.0,47.92,38.11,79.5
24,Centre-Val de Loire,11645,397,143878.0,80.94,11282.0,323.0,146903.0,76.8,4.14,5.4
75,Nouvelle-Aquitaine,20715,690,307385.0,67.39,19987.0,569.0,314238.0,63.6,3.79,6.0
44,Grand Est,19432,752,298290.0,65.14,14671.0,577.0,304748.0,48.14,17.0,35.3
04,La Réunion,4524,98,70290.0,64.36,4251.0,116.0,70601.0,60.21,4.15,6.9
53,Bretagne,11710,442,184431.0,63.49,9958.0,352.0,187454.0,53.12,10.37,19.5
02,Martinique,1165,56,18790.0,62.0,1399.0,58.0,19169.0,72.98,-10.98,-15.0
93,Provence-Alpes-Côte d'Azur,18663,564,301166.0,61.97,16715.0,367.0,304533.0,54.89,7.08,12.9
28,Normandie,11370,444,185398.0,61.33,9360.0,313.0,188984.0,49.53,11.8,23.8
84,Auvergne-Rhône-Alpes,28734,1107,478934.0,60.0,23279.0,752.0,485887.0,47.91,12.09,25.2
76,Occitanie,18720,571,325896.0,57.44,15350.0,473.0,330896.0,46.39,11.05,23.8
32,Hauts-de-France,14933,554,357153.0,41.81,9460.0,371.0,367374.0,25.75,16.06,62.4
11,Île-de-France,23818,680,783485.0,30.4,18718.0,581.0,788025.0,23.75,6.65,28.0
01,Guadeloupe,716,42,24141.0,29.66,806.0,43.0,25040.0,32.19,-2.53,-7.9
03,Guyane,400,13,30549.0,13.09,,,,,,
06,Mayotte,331,19,41432.0,7.99,158.0,6.0,40310.0,3.92,4.07,103.8
